,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,njbupdhytbpywy.co.uk,14,1555,7,1,13,4,0,0,0.0,0.07142857142857142,0,0,0,3,1,1.0,1
1,ogxilkfwjnop.com,12,1314,7,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,1
2,bkmveedyyasyaw.net,14,1525,6,4,10,3,0,0,0.0,0.2857142857142857,0,0,0,3,1,1.0,1
3,hhiddprfpafgoki.net,15,1578,7,4,11,4,0,0,0.0,0.26666666666666666,1,1,1,3,1,1.0,1
4,aoiuqmbpjuux.biz,12,1322,6,6,6,2,0,0,0.0,0.5,0,0,0,3,1,1.0,1
5,cqsnqcpaelci.com,12,1271,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,1
6,uxuovdykhrdyk.ru,13,1457,6,3,10,4,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,1
7,pewwohwxsdsskd.co.uk,14,1557,7,2,12,2,0,0,0.0,0.14285714285714285,0,0,0,4,1,1.0,1
8,sknqgyhbkjkt.info,12,1307,6,0,12,1,0,0,0.0,0.0,0,0,0,3,1,1.0,1
9,vqddtgxqiuer.info,12,1320,7,3,9,1,0,0,0.0,0.25,0,0,0,3,1,1.0,1
10,wdjsilupnbke.com,12,1298,5,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,1
11,vacenoeyapgxsqe.info,15,1619,6,6,9,3,0,0,0.0,0.4,0,0,0,3,2,1.0,1
12,yapxoqftgydvev.info,14,1553,7,3,11,4,0,0,0.0,0.21428571428571427,0,0,0,3,1,1.0,1
13,pkfdkskcmdnvg.com,13,1389,7,0,13,0,0,0,0.0,0.0,0,0,0,3,1,1.0,1
14,wuquotsrwexrtpc.com,15,1703,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,1
15,wolxycapocyu.co.uk,12,1335,5,4,8,5,0,0,0.0,0.3333333333333333,0,0,0,4,1,1.0,1
16,wunuovkrrnre.net,12,1352,6,4,8,2,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,1
17,tstnpmfdnxfjt.biz,13,1434,6,0,13,0,0,0,0.0,0.0,0,0,0,3,1,1.0,1
18,jfmibnharpqdyf.co.uk,14,1493,7,2,12,3,0,0,0.0,0.14285714285714285,0,0,0,4,1,1.0,1
19,bkmhcsnsbiyqpq.com,14,1519,8,1,13,1,0,0,0.0,0.07142857142857142,0,0,0,3,1,1.0,1
20,qwvqwdthuoyta.ru,13,1464,7,3,10,2,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,1
21,tpueyiqhwbysqy.co.uk,14,1576,8,3,11,3,0,0,0.0,0.21428571428571427,0,0,0,2,1,1.0,1
22,hdhbfyihghcvg.co.uk,13,1365,6,1,12,1,0,0,0.0,0.07692307692307693,0,0,0,3,1,1.0,1
