,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,yb18de1ade71a1dfcd1658bdf35ce3a060.tk,34,2637,19,6,28,7,0,0,0.0,0.17647058823529413,3,0,0,4,1,1.0,2
1,rdda9a5076e2226a994f83087ebb86747c.in,34,2379,14,5,29,5,0,0,0.0,0.14705882352941177,2,0,0,5,1,1.0,2
2,vc6a37fb5972d2ed0fc4a98abf8c5a6131.cn,34,2556,21,5,29,5,0,0,0.0,0.14705882352941177,4,0,0,4,1,1.0,2
3,i081a047b2bf7adae26c090bfe79a36372.cc,34,2435,18,7,27,6,0,0,0.0,0.20588235294117646,3,0,0,5,1,1.0,2
4,zc1ff486bac325783508948238357945e7.so,34,2202,9,2,32,2,0,0,0.0,0.058823529411764705,0,0,0,21,1,1.0,2
5,y29e04f6a264c4b0946c89c1bd1dd8f570.tk,34,2419,22,2,32,3,0,0,0.0,0.058823529411764705,1,0,0,4,1,1.0,2
6,jf31d443a29281fb67d837615a47c9630d.so,34,2262,16,2,32,2,0,0,0.0,0.058823529411764705,2,0,0,6,1,1.0,2
7,b5dc8fd607e0da3eecaca543edca2266a3.cn,34,2665,19,9,25,8,0,0,0.0,0.2647058823529412,3,0,0,4,1,1.0,2
8,x3af03492dcd53655c1d26f3a9f133846a.so,34,2362,17,3,31,3,0,0,0.0,0.08823529411764706,2,0,0,6,1,1.0,2
9,g0dbbbdd594fef5dd9d2debce5eca7b2b2.tk,34,2872,21,5,29,5,0,0,0.0,0.14705882352941177,0,0,0,3,1,1.0,2
10,b79caa9b3018f25ddb97d270f2c0c0b01f.ws,34,2473,21,2,32,1,0,0,0.0,0.058823529411764705,0,0,0,4,1,1.0,2
11,k6591bc2b7e53a4c57089b052c35e641ed.to,34,2351,19,4,30,4,0,0,0.0,0.11764705882352941,1,0,0,5,1,1.0,2
12,scda53928e143fc12ba8ace4f88311aa8a.cc,34,2541,17,8,26,7,0,0,0.0,0.23529411764705882,4,0,0,5,1,1.0,2
13,d1dc0025d915437775bca08379c07b8bee.so,34,2344,13,3,31,2,0,0,0.0,0.08823529411764706,0,0,0,9,1,1.0,2
