,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,atqanjgnftfsnywb.eu,16,1735,9,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,3
1,teswpukmvttjigbj.eu,16,1764,7,3,13,3,0,0,0.0,0.1875,0,0,0,3,2,1.0,3
2,tllsbvketiiybyiv.eu,16,1760,9,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
3,tseomjkvewjbhrdv.eu,16,1743,8,3,13,2,0,0,0.0,0.1875,0,0,0,3,1,1.0,3
4,takkxwwaclxdakxi.eu,16,1738,8,4,12,4,0,0,0.0,0.25,0,0,0,3,1,1.0,3
5,thdgjxwrmmyfspfi.eu,16,1757,10,1,15,2,0,0,0.0,0.0625,0,0,0,2,1,1.0,3
6,tovohlwjkbnuliai.eu,16,1740,8,6,10,4,0,0,0.0,0.375,0,0,0,3,1,1.0,3
7,tvoksyjbipowebuu.eu,16,1772,7,6,10,6,0,0,0.0,0.375,0,0,0,3,2,1.0,3
8,tdugeawssqpywgcu.eu,16,1767,9,4,12,4,0,0,0.0,0.25,0,0,0,3,1,1.0,3
9,tkncpnjkqfeodmwh.eu,16,1726,8,2,14,1,0,0,0.0,0.125,0,0,0,3,1,1.0,3
10,nipyrynjhssfxgnc.eu,16,1767,8,1,15,3,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
11,npiudabofhhuqyuo.eu,16,1739,8,7,9,5,0,0,0.0,0.4375,0,0,0,3,1,1.0,3
12,nwbqonnspiiwjrpo.eu,16,1770,8,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
13,nehmaonknwjyckko.eu,16,1729,7,4,12,4,0,0,0.0,0.25,0,0,0,3,2,1.0,3
14,nlailcncllxbidfo.eu,16,1688,8,4,12,3,0,0,0.0,0.25,1,1,0,3,1,1.0,3
15,nssqjpatvmydbvmb.eu,16,1755,8,1,15,2,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
16,naymudaltbnstbhb.eu,16,1714,7,3,13,3,0,0,0.0,0.1875,1,0,0,3,1,1.0,3
17,nhrigeadrpoumton.eu,16,1734,6,6,10,4,0,0,0.0,0.375,0,0,0,3,2,1.0,3
18,nokerrmhcedksmjn.eu,16,1717,7,3,13,3,0,0,0.0,0.1875,0,0,0,4,1,1.0,3
19,hmmbhqetserbntai.eu,16,1710,7,4,12,3,0,0,0.0,0.25,0,0,0,4,1,1.0,3
20,htfwfeelqssdgmuu.eu,16,1742,8,4,12,2,0,0,0.0,0.25,1,1,0,4,1,1.0,3
21,hblsqrqpbhhsyrcu.eu,16,1749,8,1,15,2,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
22,hieocsqhyiiurkwh.eu,16,1744,6,6,10,2,0,0,0.0,0.375,0,0,0,3,2,1.0,3
23,hpwwagqyjwjwkdrh.eu,16,1763,10,1,15,2,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
24,hwpsltdqhlxydvyt.eu,16,1795,10,0,16,2,0,0,0.0,0.0,0,0,0,3,1,1.0,3
25,hevowhdifamojott.eu,16,1730,7,6,10,6,0,0,0.0,0.375,2,0,0,4,1,1.0,3
26,hlokiidadonqchot.eu,16,1701,6,6,10,5,0,0,0.0,0.375,0,0,0,4,1,1.0,3
27,hshgtvpenposumvg.eu,16,1768,6,3,13,3,0,0,0.0,0.1875,1,1,0,3,2,1.0,3
28,bqjdjuhqedqwptmb.eu,16,1725,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,3
29,bxcyhihicrryimhb.eu,16,1720,8,3,13,4,0,0,0.0,0.1875,0,0,0,3,1,1.0,3
30,bfiusvtmmssbofcb.eu,16,1727,7,3,13,2,0,0,0.0,0.1875,0,0,0,3,1,1.0,3
31,bmbqewtekhhqhxjn.eu,16,1723,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,3
32,bttycktvuiisaqen.eu,16,1754,8,5,11,4,0,0,0.0,0.3125,0,0,0,3,1,1.0,3
33,bbaibltnswjusvla.eu,16,1725,7,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
34,bisqylgfqlxwloga.eu,16,1744,9,3,13,4,0,0,0.0,0.1875,0,0,0,4,1,1.0,3
35,bplmkmgwbammrhba.eu,16,1691,8,2,14,2,0,0,0.0,0.125,1,0,0,3,1,1.0,3
36,bweivagoybnokavm.eu,16,1723,8,6,10,5,0,0,0.0,0.375,0,0,0,3,1,1.0,3
37,uhgflyknpocsfhmh.eu,16,1728,8,2,14,3,0,0,0.0,0.125,1,1,0,3,1,1.0,3
38,uoynjmkfndquxmtt.eu,16,1784,9,3,13,2,0,0,0.0,0.1875,0,0,0,2,1,1.0,3
39,uvrjuakwxerwqfot.eu,16,1791,9,5,11,4,0,0,0.0,0.3125,1,0,0,3,1,1.0,3
40,udxfgbkovssyjxvg.eu,16,1774,9,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,3
41,ukqbrowsghhopqqg.eu,16,1757,7,3,13,3,0,0,0.0,0.1875,0,0,0,4,1,1.0,3
42,urjwpcwkeviqijlg.eu,16,1752,8,4,12,4,0,0,0.0,0.25,0,0,0,3,1,1.0,3
43,uycsbdwcckwsbcgg.eu,16,1711,8,1,15,1,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
44,ugiomqjtmlxuthns.eu,16,1779,8,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
45,unbkxejlkamkanis.eu,16,1714,7,5,11,5,0,0,0.0,0.3125,0,0,0,5,1,1.0,3
46,oldhndbxbnbouhya.eu,16,1707,8,4,12,3,0,0,0.0,0.25,1,0,0,3,1,1.0,3
47,osvplqncyocqnata.eu,16,1750,9,4,12,4,0,0,0.0,0.25,1,0,0,3,1,1.0,3
48,oacywentjdqsgsba.eu,16,1721,8,4,12,4,0,0,0.0,0.25,1,0,0,4,1,1.0,3
49,ohuhifnlhrruyxim.eu,16,1765,8,5,11,5,0,0,0.0,0.3125,1,0,0,3,1,1.0,3
50,oondtsadfggkfeqm.eu,16,1700,9,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
51,ovgyrgauphhmxjxy.eu,16,1780,7,3,13,4,0,0,0.0,0.1875,0,0,0,3,2,1.0,3
52,odmudhamnvioqcsy.eu,16,1739,7,5,11,5,0,0,0.0,0.3125,1,0,0,3,1,1.0,3
53,okfqoumqxwjqjuay.eu,16,1782,10,5,11,3,0,0,0.0,0.3125,0,0,0,2,1,1.0,3
54,orxymimivlxscnul.eu,16,1789,7,4,12,5,0,0,0.0,0.25,0,0,0,4,1,1.0,3
