,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,dhrbimhxaeiyudl.ru,15,1603,7,5,10,2,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,4
1,dsukhourfhbhdld.com,15,1601,7,3,12,2,0,0,0.0,0.2,1,0,1,4,1,1.0,4
2,dgehwtnkiprbqrj.cn,15,1622,9,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
3,krqaqjxkkqtingg.cn,15,1634,8,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,2,1,1.0,4
4,ixthimtxtjgngau.com,15,1647,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,4
5,lnquxxroxbwysmy.ru,15,1716,8,2,13,4,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
6,qodeltbgynigxwi.cn,15,1633,7,4,11,5,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,4
7,xygivxotvkgfxts.com,15,1695,7,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
8,ynpmvpcijwtnogp.cn,15,1663,8,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
9,mcpagyqlnpeshqp.cn,15,1629,8,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
10,tnegihpfgnomicm.cn,15,1599,7,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,3,2,1.0,4
11,csltdtbjlqmafbb.ru,15,1583,8,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
12,tbtmeflflotkkly.com,15,1630,7,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
13,yrthhasmrxttico.com,15,1661,6,3,12,4,0,0,0.0,0.2,0,0,0,4,2,1.0,4
14,tpnbrivtrnxflgp.com,15,1658,7,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
15,xiwxosgjhfdtlef.com,15,1632,8,3,12,3,0,0,0.0,0.2,0,0,0,3,1,1.0,4
16,qjrujquvtkheihj.cn,15,1647,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,4
17,xefjjbbhrletjcy.com,15,1600,7,2,13,3,0,0,0.0,0.13333333333333333,1,1,0,3,1,1.0,4
18,pmflwkmdqridxxp.cn,15,1650,9,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
19,ovnpcedeqdvjitl.com,15,1618,7,4,11,4,0,0,0.0,0.26666666666666666,1,0,0,4,1,1.0,4
20,dtmuwjubvocbhmr.cn,15,1635,7,3,12,3,0,0,0.0,0.2,0,0,0,3,1,1.0,4
21,bepajmmkyfprbgp.cn,15,1601,8,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
22,gsjqskcvndrijlr.cn,15,1633,8,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
23,lccumduhltshxbj.ru,15,1620,6,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,2,1.0,4
24,bwlbxcofexywlxl.cn,15,1652,10,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
25,vewhdqekcdexxqa.cn,15,1613,8,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,2,1,1.0,4
26,rlarjsprmjubolb.cn,15,1627,7,3,12,3,0,0,0.0,0.2,0,0,0,3,1,1.0,4
27,qewdiqhldffciwf.cn,15,1592,7,3,12,3,0,0,0.0,0.2,0,0,0,3,1,1.0,4
28,wueakigfkxthnuc.com,15,1624,8,5,10,3,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,4
29,rhjjyqveyocdvgb.ru,15,1633,8,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
30,yuegcaiurexiati.com,15,1618,6,9,6,5,0,0,0.0,0.6,1,0,0,4,1,1.0,4
31,uuqlpqwlirwaehq.cn,15,1660,8,5,10,3,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,4
32,dcvvuilrfxlbnte.com,15,1634,8,3,12,1,0,0,0.0,0.2,0,0,0,3,1,1.0,4
33,dfveuhqcqhfmftj.com,15,1606,8,2,13,1,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
34,fahtyovrcmtsggj.com,15,1634,6,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,2,1.0,4
35,oasnquhxvxphwbp.com,15,1670,9,3,12,2,0,0,0.0,0.2,0,0,0,3,1,1.0,4
36,oichicaypgblpfx.cn,15,1596,6,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,4
37,wqbmvgjsaljqgxn.ru,15,1638,6,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,4,2,1.0,4
38,oftvxiwgrbtkein.ru,15,1645,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,4
39,ovdwglvwinliijt.ru,15,1651,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,3,2,1.0,4
40,iomvesinpfauufk.com,15,1628,7,7,8,4,0,0,0.0,0.4666666666666667,0,0,0,3,1,1.0,4
41,rskldeccjtdmjld.cn,15,1588,7,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,2,1.0,4
42,wqsvdixjbwmgxdu.cn,15,1662,7,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,2,1.0,4
43,emywyljctlyduvf.com,15,1666,8,2,13,5,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
44,nunhfkyfdtvfjou.ru,15,1643,7,3,12,3,0,0,0.0,0.2,0,0,0,3,1,1.0,4
45,dmttjdqrqwxqsrc.cn,15,1667,9,0,15,0,0,0,0.0,0.0,0,0,0,2,1,1.0,4
46,xqbnvgrgdvlpcjp.ru,15,1634,8,0,15,0,0,0,0.0,0.0,0,0,0,3,1,1.0,4
47,wibiykxttnogcyv.ru,15,1669,9,3,12,4,0,0,0.0,0.2,0,0,0,3,1,1.0,4
48,wkmqmqyosruybtj.cn,15,1689,9,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
49,lkfmelihxhqejiu.com,15,1610,7,5,10,4,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,4
50,kgmilphwciqcmus.ru,15,1624,7,3,12,3,0,0,0.0,0.2,0,0,0,3,2,1.0,4
51,hbfkjkqlftgmmbi.ru,15,1587,7,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
52,ccinbhsfropumwu.cn,15,1631,7,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,3,2,1.0,4
53,wjbnogrddufndmf.ru,15,1601,8,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
54,nssovybdavfrbjf.com,15,1625,7,2,13,3,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
55,teitdqsvqkkfmsm.ru,15,1646,8,2,13,1,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
56,ihjafnurnqfookx.ru,15,1629,8,5,10,4,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,4
57,ginaudksoqvqbbn.cn,15,1615,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,4
58,hdltfvnepbuatnc.cn,15,1608,8,3,12,2,0,0,0.0,0.2,0,0,0,3,1,1.0,4
59,rylukrrkyaoyhno.cn,15,1677,6,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,3,2,1.0,4
60,tevengincsdbojj.com,15,1599,6,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,4,2,1.0,4
61,xcyasdmqjeohavd.cn,15,1611,7,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,4
62,hjreooykdgmvqam.com,15,1624,9,4,11,2,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,4
63,ucqrqgfvpdouvlm.com,15,1654,8,3,12,2,0,0,0.0,0.2,0,0,0,3,1,1.0,4
64,nqlnqlnbidbovgg.com,15,1608,9,2,13,2,0,0,0.0,0.13333333333333333,1,1,0,3,1,1.0,4
65,xnpkcmdbuhhuvcd.cn,15,1614,7,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
66,kuhgqhsgmdvidpb.cn,15,1608,7,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4
67,jxhrqajhjkpkpcy.cn,15,1628,8,1,14,2,0,0,0.0,0.06666666666666667,0,0,0,2,1,1.0,4
68,sxwtinukganndhq.ru,15,1646,7,3,12,3,0,0,0.0,0.2,0,0,0,3,2,1.0,4
69,sicblnmafmenabt.cn,15,1574,7,4,11,4,0,0,0.0,0.26666666666666666,1,0,0,3,1,1.0,4
70,dkwqeplukyyyrov.com,15,1690,6,3,12,4,0,0,0.0,0.2,0,0,0,3,2,1.0,4
71,ssfkmvftepswbvn.cn,15,1657,9,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,4
