,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,n89jrmpypw601ig1reb1d80og5.org,26,2257,15,3,23,4,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
1,13i009n4lbztbxaka3r7ra09e.net,25,2120,16,5,20,4,0,0,0.0,0.2,0,0,0,3,1,1.0,5
2,ksnk3enr3h8u1tqem541xfly5b.org,26,2387,18,3,23,4,0,0,0.0,0.11538461538461539,1,1,0,3,1,1.0,5
3,1ba5s4uuifr401iyyg25hf6p7p.net,26,2260,17,5,21,3,0,0,0.0,0.19230769230769232,0,0,0,3,1,1.0,5
4,usxh1c13zqsso157boclj87q0t.biz,26,2347,15,3,23,3,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
5,17a63oj1bgbkfpfup199hdg4kj.org,26,2258,15,3,23,3,0,0,0.0,0.11538461538461539,1,0,0,3,1,1.0,5
6,rz1zmv1wwpg7a12v29rw9vxxn1.biz,26,2419,18,1,25,1,0,0,0.0,0.038461538461538464,1,0,0,2,1,1.0,5
7,1swmozykgbfqjblolbq18g8y96.biz,26,2507,15,2,24,4,0,0,0.0,0.07692307692307693,0,0,0,3,1,1.0,5
8,hwdyyr14145d751nu9k116478d.net,26,1997,12,1,25,2,0,0,0.0,0.038461538461538464,0,0,0,6,1,1.0,5
9,jye0isxv0wrd1g8q5101avfa69.biz,26,2260,17,4,22,4,0,0,0.0,0.15384615384615385,2,0,0,4,1,1.0,5
10,43ymxcdhqqeu1grl7lf1bn2nso.biz,26,2482,17,3,23,3,0,0,0.0,0.11538461538461539,0,0,0,2,1,1.0,5
11,1k72chz11ti5as1j26f1ko0oor8.org,27,2238,19,5,22,4,0,0,0.0,0.18518518518518517,0,0,0,2,1,1.0,5
12,1dz41za1moy4vcywefz11ty3dbs.biz,27,2514,16,3,24,5,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,5
13,1epo5tw1jih8wwrr9yuxxln6bv.biz,26,2570,16,4,22,4,0,0,0.0,0.15384615384615385,0,0,0,3,1,1.0,5
14,vnf5a76bxu8qakig681scba9s.com,25,2245,16,5,20,5,0,0,0.0,0.2,1,0,0,3,1,1.0,5
15,yrpudvlk78xk1olxt3p1mpom96.net,26,2503,16,3,23,4,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
16,6xglaa5n3sjw1w9vceg3ua7vg.net,25,2320,19,5,20,3,0,0,0.0,0.2,2,0,0,3,1,1.0,5
17,r0lh9snnt6um1fyu3um1iqpmrk.org,26,2537,17,4,22,4,0,0,0.0,0.15384615384615385,0,0,0,3,1,1.0,5
18,j429rd1ys6zib1c36yrr1eh6ndv.net,27,2381,18,2,25,4,0,0,0.0,0.07407407407407407,0,0,0,3,1,1.0,5
19,nyw5bj12skwl3kekt1n1l80297.org,26,2219,16,1,25,2,0,0,0.0,0.038461538461538464,0,0,0,5,1,1.0,5
20,1wlz45b4eg4n91owt6xlndtrih.net,26,2402,17,3,23,3,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
21,2i36yry8jk2lrum07u1r0rtz4.com,25,2218,18,3,22,5,0,0,0.0,0.12,0,0,0,3,1,1.0,5
22,o5j6wd1rpi7n91jhxyl21ib1d77.org,27,2314,18,3,24,4,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,5
23,18a9056171zo6l1p1yufv1auud8u.org,28,2283,16,7,21,5,0,0,0.0,0.25,1,0,0,7,1,1.0,5
24,4lgsu01wzka0m39yq3lrnyfe1.org,25,2292,17,3,22,5,0,0,0.0,0.12,0,0,0,2,1,1.0,5
25,1rjqxgu4tt08u1qt2bx5wgadqq.biz,26,2471,16,3,23,3,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
26,n3fxtlqbg1drv5k1p59en8p5.biz,24,2165,18,1,23,1,0,0,0.0,0.041666666666666664,0,0,0,2,1,1.0,5
27,jumkcfe4ffyu1a4qbk31ts8ryt.net,26,2489,17,4,22,5,0,0,0.0,0.15384615384615385,1,0,0,2,1,1.0,5
28,1dvy6jo886vk914wh5ow2smu1t.net,26,2270,16,3,23,4,0,0,0.0,0.11538461538461539,0,0,0,3,1,1.0,5
29,u4wjvjdlj0oo74pij71sdmdui.biz,25,2382,16,6,19,4,0,0,0.0,0.24,0,0,0,3,1,1.0,5
30,1bjddi01ommcc316robpa1j80z1d.com,28,2398,17,4,24,4,0,0,0.0,0.14285714285714285,0,0,0,3,1,1.0,5
31,1tf1pne14ykorz1uic70z11sqvcx.org,28,2573,18,4,24,4,0,0,0.0,0.14285714285714285,0,0,0,3,1,1.0,5
32,8rmbwjo1hfek1u2btal1x199de.org,26,2344,16,5,21,4,0,0,0.0,0.19230769230769232,0,0,0,3,1,1.0,5
33,gg3tu48b17ed2aolvu1vol5b4.org,25,2191,15,6,19,5,0,0,0.0,0.24,0,0,0,3,1,1.0,5
34,167blb6cocddh14ja3ikaec1l7.net,26,2205,16,5,21,4,0,0,0.0,0.19230769230769232,1,0,0,3,1,1.0,5
35,18gvggqk0vjc8o0edl21cwt82l.com,26,2294,18,2,24,2,0,0,0.0,0.07692307692307693,0,0,0,2,1,1.0,5
36,1fknw5u1lnfgrtz0zgqy11ar0hi.net,27,2554,18,3,24,4,0,0,0.0,0.1111111111111111,0,0,0,2,1,1.0,5
37,tmur0qnn652c1vic5143ezaua.org,25,2203,13,6,19,4,0,0,0.0,0.24,1,0,0,4,1,1.0,5
38,xh4pcu1bbqed8cw75r6exg05k.org,25,2245,16,3,22,3,0,0,0.0,0.12,0,0,0,3,1,1.0,5
39,1igkoh51krpgzp5ki7igix7xqz.org,26,2514,16,5,21,5,0,0,0.0,0.19230769230769232,0,0,0,3,1,1.0,5
40,10qszrm1ee5avfnij2irrzf8p3.biz,26,2438,18,5,21,4,0,0,0.0,0.19230769230769232,1,0,0,2,1,1.0,5
41,153xu3elz1som1vy8jij1597dm1.com,27,2289,14,4,23,5,0,0,0.0,0.14814814814814814,0,0,0,4,1,1.0,5
42,wjepxgqnnwv2xvcrd7b53o7u.org,24,2372,16,3,21,3,0,0,0.0,0.125,0,0,0,2,1,1.0,5
43,1eedv9xu3w1us1angvzt12bd80j.org,27,2436,18,5,22,4,0,0,0.0,0.18518518518518517,1,0,0,3,1,1.0,5
44,ubzxr5e29e001vbvekdxt3rew.net,25,2341,15,5,20,5,0,0,0.0,0.2,0,0,0,3,1,1.0,5
45,u1v8cwvmcxnn1ocxyup1h4erq0.net,26,2534,18,4,22,4,0,0,0.0,0.15384615384615385,0,0,0,2,1,1.0,5
46,14teewc9899g71w40d8lttasf5.com,26,2153,15,3,23,2,0,0,0.0,0.11538461538461539,0,0,0,4,1,1.0,5
47,1epdpyc1axta1312nxbti1qcee3f.org,28,2537,18,6,22,6,0,0,0.0,0.21428571428571427,2,0,0,4,1,1.0,5
48,n8drpv7qr67w1jqmbek1pm2ja5.org,26,2379,18,2,24,2,0,0,0.0,0.07692307692307693,1,0,0,3,1,1.0,5
49,2r547ofiqghs2czfya111gqqe.com,25,2245,13,4,21,3,0,0,0.0,0.16,1,0,0,3,1,1.0,5
50,zcbh6l1cs3ixhd3bzq71mn2ug.net,25,2305,17,2,23,2,0,0,0.0,0.08,0,0,0,2,1,1.0,5
51,14lsr7wxj0yr34bciymuuqa4z.biz,25,2374,16,4,21,4,0,0,0.0,0.16,1,0,0,3,1,1.0,5
52,82wsut15ujdoz5l75yv1ebrlxo.com,26,2440,16,5,21,6,0,0,0.0,0.19230769230769232,0,0,0,3,1,1.0,5
53,1yzspwn1uxhp8somlyoa1jdi79g.org,27,2653,17,5,22,5,0,0,0.0,0.18518518518518517,1,0,0,3,1,1.0,5
54,ylktxc1675arewznibd1uy2ul6.org,26,2464,15,5,21,6,0,0,0.0,0.19230769230769232,0,0,0,4,1,1.0,5
55,1xdxl4n1785qdv3af2afie890m.net,26,2178,15,4,22,3,0,0,0.0,0.15384615384615385,1,0,0,4,1,1.0,5
56,gfiqrkpv4tmly89towx7l7tf.net,24,2395,15,2,22,3,0,0,0.0,0.08333333333333333,0,0,0,3,1,1.0,5
57,fzpi28repmsypqsidw1os0h2y.org,25,2481,16,4,21,6,0,0,0.0,0.16,0,0,0,3,1,1.0,5
58,1x1n5z5191rl92jtu1hfiikfqs.net,26,2281,16,3,23,2,0,0,0.0,0.11538461538461539,0,0,0,4,1,1.0,5
59,17eghdo1yjrdfx1mrtctc1ij0zcj.biz,28,2672,17,3,25,4,0,0,0.0,0.10714285714285714,0,0,0,3,1,1.0,5
60,1v41oz1lyzstr4ncpc71r3lr2d.com,26,2359,17,1,25,2,0,0,0.0,0.038461538461538464,0,0,0,3,1,1.0,5
