,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,halljudgeguyresultwakestudy.com,27,2949,6,9,18,10,0,0,0.0,0.3333333333333333,6,5,0,6,3,1.0,7
1,caredealmusclefaultbusydisappointed.com,35,3741,6,14,21,12,0,0,0.0,0.4,4,4,1,12,4,1.0,7
2,advantageneedpressthinkfear.com,27,2864,5,10,17,8,0,0,0.0,0.37037037037037035,3,3,0,9,4,1.0,7
3,planeincreasebonespringprogram.com,30,3209,5,11,19,9,0,0,0.0,0.36666666666666664,5,5,1,8,4,1.0,7
4,savingbecomepensionbendbrush.com,28,2988,5,10,18,9,0,0,0.0,0.35714285714285715,3,3,0,7,4,1.0,7
5,networkviewbecomeinterview.com,26,2829,4,11,15,8,0,0,0.0,0.4230769230769231,3,3,0,9,4,1.0,7
6,baddimensiondisappointed.com,24,2545,3,10,14,8,0,0,0.0,0.4166666666666667,2,1,1,12,3,1.0,7
7,championwisesurprisedaddress.com,28,3022,4,10,18,9,0,0,0.0,0.35714285714285715,2,2,0,9,4,1.0,7
8,shopcakeownpersuadewould.com,24,2598,5,10,14,7,0,0,0.0,0.4166666666666667,2,2,1,8,3,1.0,7
9,blacksharplookkisspentranslate.com,30,3227,6,9,21,7,0,0,0.0,0.3,4,4,2,9,3,1.0,7
10,negotiationruleignoreworry.com,26,2848,4,12,14,10,0,0,0.0,0.46153846153846156,3,2,0,11,4,1.0,7
11,researchofficersizejokerequire.com,30,3212,5,14,16,11,0,0,0.0,0.4666666666666667,4,4,1,8,4,1.0,7
12,profilemarkarriveresortmake.com,27,2914,5,11,16,10,0,0,0.0,0.4074074074074074,4,4,0,7,4,1.0,7
13,researchfishtargetstrain.com,24,2575,4,8,16,6,0,0,0.0,0.3333333333333333,3,3,0,8,4,1.0,7
14,phrasenailscriptcoursecake.com,26,2785,5,10,16,7,0,0,0.0,0.38461538461538464,5,5,0,6,4,1.0,7
15,roomlawyerlayerwakeexact.com,24,2603,5,10,14,7,0,0,0.0,0.4166666666666667,4,4,0,6,4,1.0,7
16,newsbenchapplysinkfirmspirit.com,28,3041,6,7,21,8,0,0,0.0,0.25,4,3,0,6,4,1.0,7
17,failurepromptlunchhorsetree.com,27,2933,5,10,17,8,0,0,0.0,0.37037037037037035,5,4,2,7,4,1.0,7
18,paperboxtanktreewouldoption.com,27,2947,6,11,16,8,0,0,0.0,0.4074074074074074,5,4,0,6,3,1.0,7
19,garagecashmarrystagephrase.com,26,2760,5,9,17,9,0,0,0.0,0.34615384615384615,4,4,0,6,4,1.0,7
20,pathseekcrossteampenbreast.com,26,2794,6,9,17,6,0,0,0.0,0.34615384615384615,5,4,2,6,3,1.0,7
21,conferencebirthassociate.com,24,2541,3,10,14,8,0,0,0.0,0.4166666666666667,3,3,1,10,5,1.0,7
22,extensionmarketcampapply.com,24,2600,4,8,16,8,0,0,0.0,0.3333333333333333,3,2,2,9,4,1.0,7
23,towndealhookdecidehookassociate.com,31,3290,6,15,16,10,0,0,0.0,0.4838709677419355,5,4,1,9,4,1.0,7
24,lessonboxtextappreciatestrain.com,29,3153,5,11,18,9,0,0,0.0,0.3793103448275862,4,4,0,10,3,1.0,7
25,boyfriendshouldertransition.com,27,2931,3,10,17,7,0,0,0.0,0.37037037037037035,3,2,0,10,8,1.0,7
26,slicerentproducemarketcourse.com,28,3024,5,11,17,9,0,0,0.0,0.39285714285714285,5,5,0,7,4,1.0,7
27,scorelawyertestoptioncake.com,25,2717,5,10,15,8,0,0,0.0,0.4,5,5,0,6,4,1.0,7
28,sonresortclerkbottleappeal.com,26,2813,5,9,17,7,0,0,0.0,0.34615384615384615,5,4,0,6,3,1.0,7
29,softwaredevilattractillustrate.com,30,3259,4,11,19,10,0,0,0.0,0.36666666666666664,2,1,0,10,5,1.0,7
30,inspectionlivevarystylesalary.com,29,3179,5,10,19,12,0,0,0.0,0.3448275862068966,3,2,0,10,4,1.0,7
31,contestcashassistdigstrip.com,25,2716,5,7,18,7,0,0,0.0,0.28,5,5,0,7,3,1.0,7
32,minuteshinedreamsmartreserve.com,28,3029,5,11,17,9,0,0,0.0,0.39285714285714285,4,4,2,7,5,1.0,7
33,reviewdieweathershowbelong.com,26,2796,5,11,15,8,0,0,0.0,0.4230769230769231,3,3,0,7,3,1.0,7
34,actionbendinterestedgasbell.com,27,2856,5,10,17,9,0,0,0.0,0.37037037037037035,4,3,1,10,3,1.0,7
35,jobdogwouldreachbusydiscover.com,28,3013,6,10,18,9,0,0,0.0,0.35714285714285715,3,3,0,8,3,1.0,7
36,activitystaffvoiceriskcomfort.com,29,3146,5,10,19,10,0,0,0.0,0.3448275862068966,5,4,0,8,4,1.0,7
37,southblameestimatereward.com,24,2581,4,10,14,8,0,0,0.0,0.4166666666666667,4,3,1,8,5,1.0,7
38,bedroomdistrictdiscoverpunch.com,28,3019,4,9,19,8,0,0,0.0,0.32142857142857145,3,2,0,8,5,1.0,7
39,leatherstepattractfalldecide.com,28,2961,5,10,18,8,0,0,0.0,0.35714285714285715,3,3,1,7,4,1.0,7
40,boatresolvebugprayicerent.com,25,2698,6,10,15,8,0,0,0.0,0.4,5,5,0,7,3,1.0,7
41,detaildiebugweighlogprogram.com,27,2865,6,11,16,8,0,0,0.0,0.4074074074074074,4,4,0,7,3,1.0,7
42,productmarketletterstruggle.com,27,2946,4,8,19,7,0,0,0.0,0.2962962962962963,4,3,0,8,6,1.0,7
43,crosscoastpushcrashphase.com,24,2598,5,7,17,5,0,0,0.0,0.2916666666666667,5,5,2,5,4,1.0,7
44,quantityauthorassumesign.com,24,2641,4,10,14,8,0,0,0.0,0.4166666666666667,3,2,0,8,4,1.0,7
45,gardenactlistenassureinvite.com,27,2906,5,11,16,9,0,0,0.0,0.4074074074074074,4,4,0,6,3,1.0,7
46,appealchartjacketbottlecredit.com,29,3068,5,10,19,9,0,0,0.0,0.3448275862068966,5,5,0,6,5,1.0,7
47,degreeinvestboxarrivecatch.com,26,2778,5,10,16,8,0,0,0.0,0.38461538461538464,3,2,0,6,3,1.0,7
48,dishorganizepriestaffect.com,24,2567,4,9,15,8,0,0,0.0,0.375,3,3,0,8,4,1.0,7
49,storereasonwrappackspirit.com,25,2729,5,9,16,8,0,0,0.0,0.36,5,5,1,6,4,1.0,7
50,husbandcontinuetellunderstand.com,29,3123,4,10,19,9,0,0,0.0,0.3448275862068966,2,2,0,10,4,1.0,7
51,newssliceseemtravelnameworried.com,30,3234,6,12,18,10,0,0,0.0,0.4,4,3,1,7,4,1.0,7
52,interestcollarplaceweigh.com,24,2564,4,9,15,8,0,0,0.0,0.375,3,3,0,8,5,1.0,7
53,angerpictureinviteburnseason.com,28,3032,5,12,16,10,0,0,0.0,0.42857142857142855,5,5,0,7,4,1.0,7
54,requirementschedulearmcoast.com,27,2904,4,11,16,8,0,0,0.0,0.4074074074074074,4,3,0,11,3,1.0,7
55,boxzonelistrelaxhandleinfluence.com,31,3330,6,12,19,9,0,0,0.0,0.3870967741935484,5,5,0,9,3,1.0,7
56,crewnamemixchipshakesearch.com,26,2758,6,9,17,8,0,0,0.0,0.34615384615384615,6,6,1,6,3,1.0,7
57,organizationavoidmouthpage.com,26,2802,4,13,13,9,0,0,0.0,0.5,3,2,0,12,4,1.0,7
58,redprayqualifyhabitplant.com,24,2585,5,8,16,8,0,0,0.0,0.3333333333333333,3,2,1,7,3,1.0,7
59,bendconditiondreamcarddog.com,25,2621,5,9,16,7,0,0,0.0,0.36,5,5,1,9,3,1.0,7
60,perioddoeslawyerprogrampassage.com,30,3230,5,12,18,9,0,0,0.0,0.4,4,3,1,7,4,1.0,7
61,spacestormislandconsultpot.com,26,2839,5,8,18,8,0,0,0.0,0.3076923076923077,4,4,0,7,3,1.0,7
62,organizationliftflowerinfluence.com,31,3340,4,13,18,10,0,0,0.0,0.41935483870967744,4,3,0,12,4,1.0,7
63,nurseexistreactmovelaugh.com,24,2609,5,10,14,7,0,0,0.0,0.4166666666666667,3,3,0,5,4,1.0,7
