,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,lokiininuoktvh.com,14,1534,7,6,8,4,0,0,0.0,0.42857142857142855,0,0,0,4,1,1.0,8
1,svgtlmslwmerpz.net,14,1569,7,1,13,1,0,0,0.0,0.07142857142857142,0,0,0,3,1,1.0,8
2,mtfvtubzwszwmvvn.com,16,1828,8,1,15,1,0,0,0.0,0.0625,0,0,0,3,1,1.0,8
3,ovoproqnyjeoiupv.info,16,1791,8,7,9,5,0,0,0.0,0.4375,0,0,0,3,1,1.0,8
4,ovtynvnhepnosrtl.biz,16,1795,8,3,13,4,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
5,iutmqrnmroppn.com,13,1452,6,3,10,2,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,8
6,plvtqumwokkjpvvr.org,16,1805,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
7,xnqgjwtcpvxuumsg.com,16,1797,8,2,14,1,0,0,0.0,0.125,0,0,0,3,1,1.0,8
8,spmqsxqoqgohxpp.org,15,1683,8,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,4,1,1.0,8
9,swgjkbrcosetqwi.com,15,1641,7,3,12,3,0,0,0.0,0.2,1,1,1,3,1,1.0,8
10,jghtrnxohcqfvonu.com,16,1758,9,3,13,3,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
11,vdjwlqpfwluosic.net,15,1652,8,3,12,2,0,0,0.0,0.2,0,0,0,3,1,1.0,8
12,lpbostujoyeyvdy.net,15,1676,7,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,3,1,1.0,8
13,hjqtemsrpyqunu.com,14,1568,7,3,11,4,0,0,0.0,0.21428571428571427,0,0,0,3,1,1.0,8
14,qqxjjvvuyxkpoxqn.com,16,1825,11,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
15,mpmzjasqlvtqolc.org,15,1656,8,2,13,2,0,0,0.0,0.13333333333333333,1,0,0,3,1,1.0,8
16,iutmqrnmroppn.info,13,1452,6,3,10,2,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,8
17,lnnpixxpxvfsztvy.com,16,1829,9,1,15,2,0,0,0.0,0.0625,0,0,0,3,1,1.0,8
18,yluierrsupyvyhw.com,15,1707,8,4,11,5,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,8
19,ryjmjtmmnvkzlzg.com,15,1680,9,0,15,1,0,0,0.0,0.0,0,0,0,2,1,1.0,8
20,xfptlsicpwnnpwt.info,15,1675,7,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,8
21,pspdqntfqbixpxt.info,15,1664,9,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,8
22,ywzopxxwqnldkpgu.org,16,1814,9,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,8
23,qfpmskltxusxslw.com,15,1696,8,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,8
24,pwqeqztxvpqvxh.net,14,1601,8,1,13,1,0,0,0.0,0.07142857142857142,0,0,0,2,1,1.0,8
25,rkouisnqpmojfztd.net,16,1770,8,4,12,2,0,0,0.0,0.25,0,0,0,3,1,1.0,8
26,xrsxormjppsgmeoh.com,16,1776,8,3,13,2,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
27,jxwpkdxjqwqvhjr.com,15,1677,9,0,15,0,0,0,0.0,0.0,0,0,0,2,1,1.0,8
28,nluopvrkyqkoswyw.net,16,1823,9,3,13,4,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
29,swizqoldmuvskis.com,15,1679,7,4,11,4,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,8
30,imnfsourtinxglm.biz,15,1654,6,4,11,3,0,0,0.0,0.26666666666666666,0,0,0,4,1,1.0,8
31,nrnqqblfrlyrr.com,13,1439,7,0,13,1,0,0,0.0,0.0,0,0,0,3,1,1.0,8
32,dizcnsuzkrjst.com,13,1448,6,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,3,1,1.0,8
33,impwkxqgousnoh.info,14,1556,8,4,10,3,0,0,0.0,0.2857142857142857,1,1,1,3,1,1.0,8
34,doqvpxviwytrkiss.info,16,1809,7,3,13,4,0,0,0.0,0.1875,1,1,0,4,1,1.0,8
35,psntinfkxswtdkdv.info,16,1772,7,1,15,1,0,0,0.0,0.0625,0,0,0,3,1,1.0,8
36,qpiqfotwnlrbxwmf.biz,16,1771,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
37,uhfpxpnwgqjjbid.biz,15,1627,7,2,13,2,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,8
38,nhqizyqnhynkkxt.com,15,1683,8,1,14,3,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,8
39,mowpkjrlslkolik.net,15,1647,7,3,12,3,0,0,0.0,0.2,0,0,0,4,1,1.0,8
40,zmnnxapxomnbt.info,13,1444,8,2,11,2,0,0,0.0,0.15384615384615385,1,0,0,2,1,1.0,8
41,uenckeuwttopxftk.org,16,1771,8,5,11,3,0,0,0.0,0.3125,0,0,0,5,1,1.0,8
42,letqmquvcrnvppi.com,15,1665,6,3,12,3,0,0,0.0,0.2,1,1,0,3,2,1.0,8
43,niurrhlrqtpipi.org,14,1549,7,4,10,3,0,0,0.0,0.2857142857142857,0,0,0,3,1,1.0,8
44,zppitonsnrzlm.com,13,1466,4,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,6,2,1.0,8
45,wpqjmkuvtnspnbcu.biz,16,1778,9,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
46,qmhfpdenlznfsswo.biz,16,1753,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
47,pphowyqnqumnqixy.com,16,1810,9,3,13,5,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
48,nfwjotkhjqzqtwv.org,15,1682,9,1,14,1,0,0,0.0,0.06666666666666667,0,0,0,3,1,1.0,8
49,infrwpwgxqqsmvgu.biz,16,1792,9,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
50,jghtrnxohcqfvonu.net,16,1758,9,3,13,3,0,0,0.0,0.1875,0,0,0,3,1,1.0,8
51,egpixuqryxpxlz.com,14,1588,8,3,11,4,0,0,0.0,0.21428571428571427,0,0,0,3,1,1.0,8
52,yymmunrsqfvvmpne.org,16,1799,8,2,14,2,0,0,0.0,0.125,0,0,0,3,1,1.0,8
53,zooemptvzqmuhqzu.org,16,1817,8,5,11,3,0,0,0.0,0.3125,0,0,0,3,1,1.0,8
