,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,rvaueetjmobetrejekwbb.jp,21,2249,10,8,13,5,0,0,0.0,0.38095238095238093,0,0,0,3,1,1.0,9
1,utemcxjiubjnvbvxlvt.to,19,2100,10,4,15,3,0,0,0.0,0.21052631578947367,0,0,0,3,1,1.0,9
2,xuhhkbvr.ir,8,882,4,1,7,1,0,0,0.0,0.125,0,0,0,3,1,1.0,9
3,wphgfgporbffcafpk.la,17,1799,8,2,15,2,0,0,0.0,0.11764705882352941,1,0,0,3,1,1.0,9
4,gppbfigagbljrb.me,14,1459,7,2,12,2,0,0,0.0,0.14285714285714285,1,0,0,3,1,1.0,9
5,geeeiqjajjg.ru,11,1142,7,5,6,2,0,0,0.0,0.45454545454545453,1,0,0,3,1,1.0,9
6,swmehjvamgljqjjpi.nf,17,1837,9,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,9
7,uaukpqixak.mn,10,1092,5,5,5,3,0,0,0.0,0.5,0,0,0,3,1,1.0,9
8,cbytyqnsviqfmaw.nf,15,1656,9,2,13,4,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,9
9,ecmvtsu.sh,7,775,3,2,5,2,0,0,0.0,0.2857142857142857,0,0,0,3,2,1.0,9
10,qtsnwvfly.org,9,1022,4,0,9,1,0,0,0.0,0.0,1,1,0,3,1,1.0,9
11,wvyahkovd.cm,9,995,4,2,7,2,0,0,0.0,0.2222222222222222,0,0,0,4,1,1.0,9
12,gwddpqqiebhpiorqbgn.eu,19,2034,9,4,15,2,0,0,0.0,0.21052631578947367,0,0,0,3,1,1.0,9
13,wdiwfqdvjfivloeowxff.tv,20,2181,9,5,15,3,0,0,0.0,0.25,0,0,0,3,1,1.0,9
14,xhcwicyrptfbnntvvxq.kz,19,2114,11,1,18,2,0,0,0.0,0.05263157894736842,0,0,0,3,1,1.0,9
15,xtadxymajjalhj.in,14,1507,6,3,11,4,0,0,0.0,0.21428571428571427,0,0,0,3,1,1.0,9
16,rmxvwwimfdbllvlx.net,16,1775,8,1,15,1,0,0,0.0,0.0625,0,0,0,3,1,1.0,9
17,emwmvvwjvwxfxdmvidmvs.pro,21,2352,12,2,19,2,0,0,0.0,0.09523809523809523,0,0,0,3,1,1.0,9
18,aldinjg.ac,7,729,2,2,5,2,0,0,0.0,0.2857142857142857,0,0,0,5,2,1.0,9
19,yukhbdqyrrbaayxosueor.tw,21,2311,11,7,14,5,0,0,0.0,0.3333333333333333,1,0,0,3,1,1.0,9
20,uwnvtuqrttikjvpbj.sh,17,1908,9,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,9
21,dwmawvdcn.nu,9,971,5,1,8,1,0,0,0.0,0.1111111111111111,1,0,0,3,1,1.0,9
22,qauvicjpxtxigicewankf.nf,21,2271,9,7,14,6,0,0,0.0,0.3333333333333333,1,1,0,4,1,1.0,9
