,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,anotherremember.net,15,1600,2,6,9,6,0,0,0.0,0.4,0,0,0,8,7,1.0,1
1,alonespeak.net,10,1059,2,5,5,4,0,0,0.0,0.5,0,0,0,5,5,1.0,1
2,anotherspeak.net,12,1285,2,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,7,5,1.0,1
3,alonerequire.net,12,1292,2,7,5,5,0,0,0.0,0.5833333333333334,0,0,0,7,5,1.0,1
4,anotherrequire.net,14,1518,2,7,7,5,0,0,0.0,0.5,0,0,0,7,7,1.0,1
5,alonespent.net,10,1081,2,4,6,4,0,0,0.0,0.4,0,0,0,5,5,1.0,1
6,anotherspent.net,12,1307,2,4,8,4,0,0,0.0,0.3333333333333333,0,0,0,7,5,1.0,1
7,attemptremember.net,15,1614,2,5,10,5,0,0,0.0,0.3333333333333333,1,1,0,8,7,1.0,1
8,beforeremember.net,14,1474,2,6,8,6,0,0,0.0,0.42857142857142855,0,0,0,8,6,1.0,1
9,attemptspeak.net,12,1299,2,4,8,3,0,0,0.0,0.3333333333333333,1,1,0,7,5,1.0,1
10,beforespeak.net,11,1159,2,5,6,4,0,0,0.0,0.45454545454545453,0,0,0,6,5,1.0,1
11,attemptrequire.net,14,1532,2,6,8,4,0,0,0.0,0.42857142857142855,1,1,0,7,7,1.0,1
12,beforerequire.net,13,1392,2,7,6,5,0,0,0.0,0.5384615384615384,0,0,0,7,6,1.0,1
13,attemptspent.net,12,1321,2,3,9,3,0,0,0.0,0.25,1,1,0,7,5,1.0,1
14,beforespent.net,11,1181,2,4,7,4,0,0,0.0,0.36363636363636365,0,0,0,6,5,1.0,1
15,bankerremember.net,14,1474,2,5,9,5,0,0,0.0,0.35714285714285715,0,0,0,8,6,1.0,1
16,beginremember.net,13,1364,2,5,8,5,0,0,0.0,0.38461538461538464,0,0,0,8,5,1.0,1
17,bankerspeak.net,11,1159,2,4,7,3,0,0,0.0,0.36363636363636365,0,0,0,6,5,1.0,1
18,beginspeak.net,10,1049,2,4,6,3,0,0,0.0,0.4,0,0,0,5,5,1.0,1
19,bankerrequire.net,13,1392,2,6,7,4,0,0,0.0,0.46153846153846156,0,0,0,7,6,1.0,1
20,beginrequire.net,12,1282,2,6,6,4,0,0,0.0,0.5,0,0,0,7,5,1.0,1
21,bankerspent.net,11,1181,2,3,8,3,0,0,0.0,0.2727272727272727,0,0,0,6,5,1.0,1
22,beginspent.net,10,1071,2,3,7,3,0,0,0.0,0.3,0,0,0,5,5,1.0,1
23,advanceround.net,12,1274,2,5,7,4,0,0,0.0,0.4166666666666667,2,1,2,7,5,1.0,1
24,alwaysround.net,11,1209,2,4,7,3,0,0,0.0,0.36363636363636365,1,0,1,6,5,1.0,1
25,advancestore.net,12,1279,2,5,7,4,0,0,0.0,0.4166666666666667,2,2,1,7,5,1.0,1
26,alwaysstore.net,11,1214,2,4,7,3,0,0,0.0,0.36363636363636365,1,1,0,6,5,1.0,1
27,advanceschool.net,13,1370,2,5,8,4,0,0,0.0,0.38461538461538464,2,2,1,7,6,1.0,1
28,alwaysschool.net,12,1305,2,4,8,3,0,0,0.0,0.3333333333333333,1,1,0,6,6,1.0,1
29,advancestraight.net,15,1592,2,5,10,4,0,0,0.0,0.3333333333333333,1,1,1,8,7,1.0,1
30,alwaysstraight.net,14,1527,2,4,10,3,0,0,0.0,0.2857142857142857,0,0,0,8,6,1.0,1
31,afraidround.net,11,1167,2,5,6,3,0,0,0.0,0.45454545454545453,1,0,1,6,5,1.0,1
32,amountround.net,11,1212,2,5,6,3,0,0,0.0,0.45454545454545453,2,1,1,6,5,1.0,1
33,afraidstore.net,11,1172,2,5,6,3,0,0,0.0,0.45454545454545453,1,1,0,6,5,1.0,1
34,amountstore.net,11,1217,2,5,6,3,0,0,0.0,0.45454545454545453,2,2,0,6,5,1.0,1
35,afraidschool.net,12,1263,2,5,7,3,0,0,0.0,0.4166666666666667,1,1,0,6,6,1.0,1
36,amountschool.net,12,1308,2,5,7,3,0,0,0.0,0.4166666666666667,2,2,0,6,6,1.0,1
37,afraidstraight.net,14,1485,2,5,9,3,0,0,0.0,0.35714285714285715,0,0,0,8,6,1.0,1
38,amountstraight.net,14,1530,2,5,9,3,0,0,0.0,0.35714285714285715,1,1,0,8,6,1.0,1
39,appleround.net,10,1082,2,4,6,3,0,0,0.0,0.4,2,0,1,5,5,1.0,1
40,beautyround.net,11,1202,2,5,6,3,0,0,0.0,0.45454545454545453,1,0,1,6,5,1.0,1
41,applestore.net,10,1087,2,4,6,3,0,0,0.0,0.4,2,1,0,5,5,1.0,1
42,beautystore.net,11,1207,2,5,6,3,0,0,0.0,0.45454545454545453,1,1,0,6,5,1.0,1
43,appleschool.net,11,1178,2,4,7,3,0,0,0.0,0.36363636363636365,2,1,0,6,5,1.0,1
44,beautyschool.net,12,1298,2,5,7,3,0,0,0.0,0.4166666666666667,1,1,0,6,6,1.0,1
45,applestraight.net,13,1400,2,4,9,3,0,0,0.0,0.3076923076923077,1,0,0,8,5,1.0,1
46,beautystraight.net,14,1520,2,5,9,3,0,0,0.0,0.35714285714285715,0,0,0,8,6,1.0,1
47,aroundround.net,11,1201,2,5,6,3,0,0,0.0,0.45454545454545453,1,0,1,6,5,1.0,1
