,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,vbvqbnwyurqem.com,13,1449,8,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,2,1,1.0,11
1,jetuergatod.com,11,1182,5,5,6,4,0,0,0.0,0.45454545454545453,1,0,0,3,1,1.0,11
2,khllpmpmare.com,11,1181,4,2,9,1,0,0,0.0,0.18181818181818182,0,0,0,4,2,1.0,11
3,riaaiysk.com,8,861,3,4,4,1,0,0,0.0,0.5,0,0,0,4,2,1.0,11
4,uvenqtbfbeyvebqeb.com,17,1824,8,5,12,5,0,0,0.0,0.29411764705882354,0,0,0,3,1,1.0,11
5,ycafyovxdnlsa.com,13,1419,8,3,10,4,0,0,0.0,0.23076923076923078,1,0,0,3,1,1.0,11
6,ooadnxbvbhxnnm.com,14,1516,7,3,11,1,0,0,0.0,0.21428571428571427,1,0,0,3,1,1.0,11
7,imboajaksftmyk.com,14,1500,6,4,10,4,0,0,0.0,0.2857142857142857,0,0,0,3,1,1.0,11
8,vmdxbmxgnkego.com,13,1409,6,2,11,2,0,0,0.0,0.15384615384615385,1,1,1,3,2,1.0,11
9,uhebxauxjmugquv.com,15,1657,8,6,9,5,0,0,0.0,0.4,0,0,0,3,1,1.0,11
10,klnuloygli.com,10,1098,4,3,7,3,0,0,0.0,0.3,0,0,0,3,2,1.0,11
11,vibaiqpoosdy.com,12,1306,6,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,11
12,ghwicjxaoupuw.com,13,1429,7,5,8,3,0,0,0.0,0.38461538461538464,0,0,0,3,1,1.0,11
13,wgolyofrdssykseyi.com,17,1889,9,4,13,4,0,0,0.0,0.23529411764705882,1,1,1,3,1,1.0,11
14,erkfmlhnokaebvqc.com,16,1699,8,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,11
15,qblyiqjupnvri.com,13,1440,7,3,10,3,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,11
16,pyrnejimyqoc.com,12,1322,6,3,9,5,0,0,0.0,0.25,0,0,0,3,1,1.0,11
17,ifjnldure.com,9,963,3,3,6,2,0,0,0.0,0.3333333333333333,1,0,0,4,2,1.0,11
18,jbuedttcvqunja.com,14,1514,8,4,10,3,0,0,0.0,0.2857142857142857,1,0,0,3,1,1.0,11
19,xaicbmpmffphwffoo.com,17,1814,9,4,13,2,0,0,0.0,0.23529411764705882,1,0,0,4,1,1.0,11
20,xxplunpiruqfjselc.com,17,1879,8,4,13,4,0,0,0.0,0.23529411764705882,0,0,0,4,1,1.0,11
21,lowftxldltqw.com,12,1340,7,1,11,1,0,0,0.0,0.08333333333333333,1,0,1,3,1,1.0,11
22,dphyqpdle.com,9,971,4,1,8,1,0,0,0.0,0.1111111111111111,0,0,0,3,2,1.0,11
23,itnqfvohvm.com,10,1106,6,2,8,2,0,0,0.0,0.2,1,0,0,3,1,1.0,11
24,lccrvitsmne.com,11,1194,5,2,9,1,0,0,0.0,0.18181818181818182,0,0,0,3,1,1.0,11
25,aoqcpxwy.com,8,892,4,2,6,2,0,0,0.0,0.25,0,0,0,2,2,1.0,11
26,sftxolfsnisrfgvxov.com,18,2005,11,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,11
27,buukgyaag.com,9,960,4,4,5,2,0,0,0.0,0.4444444444444444,0,0,0,3,2,1.0,11
28,rikqhkydotyvbgahpbn.com,19,2059,9,3,16,5,0,0,0.0,0.15789473684210525,0,0,0,3,1,1.0,11
29,tprtrdihj.com,9,987,4,1,8,1,0,0,0.0,0.1111111111111111,0,0,0,3,2,1.0,11
30,lnnfkuqdxhudteysrym.com,19,2105,9,3,16,4,0,0,0.0,0.15789473684210525,0,0,0,3,1,1.0,11
31,btovknhckigxnd.com,14,1508,8,2,12,2,0,0,0.0,0.14285714285714285,0,0,0,3,1,1.0,11
32,uuwuvedsovairnj.com,15,1665,7,7,8,5,0,0,0.0,0.4666666666666667,0,0,0,4,1,1.0,11
33,nmckpavumykrpqy.com,15,1666,8,2,13,4,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,11
34,skudtkmr.com,8,885,5,1,7,1,0,0,0.0,0.125,0,0,0,2,1,1.0,11
35,qxcjvqgvxspw.com,12,1356,7,0,12,0,0,0,0.0,0.0,0,0,0,2,1,1.0,11
36,aoeqykxgfbapsuptll.com,18,1958,9,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,11
37,hqlyfmsxbab.com,11,1185,5,1,10,2,0,0,0.0,0.09090909090909091,0,0,0,3,1,1.0,11
38,kjtbqmys.com,8,885,5,0,8,1,0,0,0.0,0.0,0,0,0,2,1,1.0,11
39,jrwylmjxqawnccwxsrc.com,19,2107,10,1,18,2,0,0,0.0,0.05263157894736842,0,0,0,3,1,1.0,11
40,pketudqjpj.com,10,1090,5,2,8,2,0,0,0.0,0.2,0,0,0,3,1,1.0,11
41,ioeohaulp.com,9,966,4,6,3,2,0,0,0.0,0.6666666666666666,0,0,0,4,1,1.0,11
42,gsodltaujsjyurdu.com,16,1763,7,5,11,4,0,0,0.0,0.3125,0,0,0,4,1,1.0,11
43,woootmowebgoo.com,13,1431,5,7,6,4,0,0,0.0,0.5384615384615384,1,1,0,3,2,1.0,11
44,jgicehhsaovuhrslnv.com,18,1949,7,5,13,4,0,0,0.0,0.2777777777777778,1,1,0,3,2,1.0,11
45,pnobsfwfwfejkjut.com,16,1743,8,3,13,3,0,0,0.0,0.1875,0,0,0,3,1,1.0,11
46,xsiheaxyjqyuksodl.com,17,1881,10,5,12,5,0,0,0.0,0.29411764705882354,1,0,0,3,1,1.0,11
47,mefxumkgglvhk.com,13,1408,7,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,2,1,1.0,11
48,idmyvrubanq.com,11,1202,6,3,8,4,0,0,0.0,0.2727272727272727,1,1,0,3,1,1.0,11
49,gflvilaueotgwukh.com,16,1736,7,6,10,3,0,0,0.0,0.375,0,0,0,4,1,1.0,11
50,nbydorqfeuyyr.com,13,1443,7,3,10,3,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,11
51,nqcywaqatkdjo.com,13,1409,8,3,10,4,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,11
52,cptdwxeqckjferegy.com,17,1834,9,3,14,4,0,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,11
53,extpxqidwd.com,10,1106,5,2,8,2,0,0,0.0,0.2,0,0,0,3,1,1.0,11
54,grkxynnft.com,9,1003,5,0,9,1,0,0,0.0,0.0,0,0,0,2,1,1.0,11
55,vumjynaxkd.com,10,1105,6,2,8,3,0,0,0.0,0.2,0,0,0,3,1,1.0,11
56,aaryeuxrecnokd.com,14,1509,7,6,8,4,0,0,0.0,0.42857142857142855,1,0,0,3,1,1.0,11
57,juvujmiusgv.com,11,1231,5,4,7,3,0,0,0.0,0.36363636363636365,0,0,0,3,1,1.0,11
58,hutidxsr.com,8,891,4,2,6,2,0,0,0.0,0.25,0,0,0,3,1,1.0,11
59,vmcyjocu.com,8,880,4,2,6,3,0,0,0.0,0.25,0,0,0,2,2,1.0,11
60,ihqwfqiywefkecdrnji.com,19,2046,11,5,14,5,0,0,0.0,0.2631578947368421,0,0,0,3,1,1.0,11
61,ejisxdqyvhwfiklolo.com,18,1974,10,5,13,6,0,0,0.0,0.2777777777777778,0,0,0,4,1,1.0,11
62,xntqyumqygiodxsr.com,16,1808,9,3,13,3,0,0,0.0,0.1875,0,0,0,3,1,1.0,11
63,fcuvtjtdyoghj.com,13,1419,6,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,3,1,1.0,11
64,kldclsodw.com,9,967,4,1,8,1,0,0,0.0,0.1111111111111111,0,0,0,3,2,1.0,11
65,rbwyxwhbqlaxaqmpt.com,17,1878,9,2,15,3,0,0,0.0,0.11764705882352941,1,0,0,3,1,1.0,11
66,rqimupxk.com,8,897,5,2,6,2,0,0,0.0,0.25,0,0,0,2,1,1.0,11
67,oyqlgdpkhd.com,10,1079,5,1,9,1,0,0,0.0,0.1,0,0,0,3,1,1.0,11
68,itkvselhjtbkucmbf.com,17,1826,8,3,14,3,0,0,0.0,0.17647058823529413,1,0,0,3,2,1.0,11
69,qbnrgnqffvpjexdxvh.com,18,1964,10,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,11
70,dgstbsxjqnhi.com,12,1305,6,1,11,1,0,0,0.0,0.08333333333333333,0,0,0,3,1,1.0,11
71,eagcaasnnlvrs.com,13,1384,6,4,9,2,0,0,0.0,0.3076923076923077,1,0,0,4,1,1.0,11
72,okysithcxjjt.com,12,1326,6,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,11
73,rijtkfyceg.com,10,1074,5,2,8,3,0,0,0.0,0.2,0,0,0,3,1,1.0,11
74,npbsptyjkurhekmm.com,16,1758,8,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,11
75,adbwsqmjt.com,9,973,4,1,8,1,0,0,0.0,0.1111111111111111,0,0,0,3,2,1.0,11
76,rhbxsdnvy.com,9,1000,5,0,9,1,0,0,0.0,0.0,0,0,0,2,1,1.0,11
77,lnvgfiwewthlhdgsnlo.com,19,2064,10,3,16,3,0,0,0.0,0.15789473684210525,0,0,0,3,1,1.0,11
78,nsdyeenpkpbgdlf.com,15,1600,7,2,13,1,0,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,11
79,aisaljuxvojvitxrl.com,17,1881,9,6,11,5,0,0,0.0,0.35294117647058826,1,0,0,3,1,1.0,11
