,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,kxpfiobwhokmshsrc.su,17,1852,8,3,14,2,0,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,12
1,nynkdypfyjfufyfcp.pw,17,1865,9,1,16,5,0,0,0.0,0.058823529411764705,0,0,0,2,1,1.0,12
2,aevpqapcldsdtsmhc.pw,17,1815,8,3,14,2,0,0,0.0,0.17647058823529413,1,0,0,3,1,1.0,12
3,jwpfkgvxawqdoifdo.su,17,1845,11,4,13,3,0,0,0.0,0.23529411764705882,2,0,0,2,1,1.0,12
4,cpqwboncghajtmyse.com,17,1833,9,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,12
5,rqynplladdpkbgonw.tw,17,1843,9,2,15,3,0,0,0.0,0.11764705882352941,0,0,0,4,1,1.0,12
6,tvhwvoojwnevepxsk.com,17,1906,9,4,13,3,0,0,0.0,0.23529411764705882,0,0,0,4,1,1.0,12
7,kuhnhpdrgpsvxuwwa.cc,17,1888,7,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,4,1,1.0,12
8,olhibfcahdqxlpgnf.cc,17,1796,7,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,3,2,1.0,12
9,umfiaqncybufhdgmk.cc,17,1813,9,4,13,4,0,0,0.0,0.23529411764705882,0,0,0,3,1,1.0,12
10,ibmmbwxprocfktuuc.tw,17,1852,7,4,13,3,0,0,0.0,0.23529411764705882,0,0,0,4,1,1.0,12
11,iwdnnldnahwrcibly.net,17,1827,7,3,14,4,0,0,0.0,0.17647058823529413,0,0,0,3,2,1.0,12
12,jahfsukgwtugricga.su,17,1824,6,5,12,5,0,0,0.0,0.29411764705882354,0,0,0,5,2,1.0,12
13,qwfuaunobpepoykyk.com,17,1876,10,6,11,5,0,0,0.0,0.35294117647058826,1,0,0,4,1,1.0,12
14,hcmsxoxpykqdynqwc.com,17,1893,9,1,16,3,0,0,0.0,0.058823529411764705,0,0,0,3,1,1.0,12
15,sygrspofbgsyoefff.tw,17,1848,7,3,14,3,0,0,0.0,0.17647058823529413,0,0,0,3,2,1.0,12
16,bcgwhfknlpgyksodi.in,17,1824,9,2,15,3,0,0,0.0,0.11764705882352941,0,0,0,3,1,1.0,12
