,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,aby71fqwc3ai12wseh.com,18,1644,12,4,14,4,0,0,0.0,0.2222222222222222,2,0,0,2,1,1.0,13
1,bg6yh34pgow6earefi.com,18,1702,11,5,13,5,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
2,knvscghl6jh7tmxhzc.ru,18,1853,12,0,18,0,0,0,0.0,0.0,0,0,0,3,1,1.0,13
3,2m5fi5q2dk68yelx8k.cn,18,1565,13,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
4,41jv7d8t5zazlx82j6.ru,18,1540,14,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
5,2sniila2wwpkpjc7tz.cn,18,1807,9,3,15,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
6,xe6uk27pd8qfgwc6fy.com,18,1685,11,2,16,3,0,0,0.0,0.1111111111111111,0,0,0,2,1,1.0,13
7,run54q2jezu28gm6dz.cn,18,1649,10,3,15,3,0,0,0.0,0.16666666666666666,1,1,0,3,1,1.0,13
8,getgfwpok2ax3f8ojw.ru,18,1786,12,4,14,4,0,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,13
9,6m5dzssdfvfdxwdy3v.biz,18,1819,13,0,18,1,0,0,0.0,0.0,0,0,0,3,1,1.0,13
10,ieqg7cftfe5c2d7xao.net,18,1682,13,5,13,3,0,0,0.0,0.2777777777777778,0,0,0,2,1,1.0,13
11,ilppcqocllijjvh6tl.net,18,1892,9,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
12,umwqvxhopidel3fao2.ru,18,1848,9,6,12,5,0,0,0.0,0.3333333333333333,0,0,0,4,1,1.0,13
13,zez734ozkdo4h5djb7.com,18,1622,11,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
14,7uu1hmp14ogxja4tjs.com,18,1690,13,4,14,3,0,0,0.0,0.2222222222222222,1,0,0,2,1,1.0,13
15,pe3sugtobjpio6grcz.net,18,1850,10,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
16,wzgcj5iaca31zm4lbv.ru,18,1707,12,3,15,2,0,0,0.0,0.16666666666666666,1,0,0,3,1,1.0,13
17,t46s2c8oypz6q8wqnk.com,18,1680,14,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
18,t463pgtuchfwms4dla.cn,18,1726,10,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
19,qedopw151j48jqqbxu.cn,18,1688,9,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
20,833e27wblmn8wsn81t.com,18,1529,10,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
21,h83ny5zwy2hofzp7kb.com,18,1718,12,1,17,3,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
22,aemkffz26zd226uree.ru,18,1653,9,5,13,3,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
23,15bowck1z1elo3uzpp.com,18,1690,10,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
24,l33arj5pgzb2zqplvw.cn,18,1757,11,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
25,g8y2pwmwqa3cufrhci.biz,18,1790,11,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
26,a8wif687xh37uyal3k.com,18,1575,12,4,14,3,0,0,0.0,0.2222222222222222,2,0,0,3,1,1.0,13
27,qikckdjoxkuiulellg.com,18,1942,9,6,12,4,0,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,13
28,yfqcphfz2ffnoqj4cr.cn,18,1834,12,1,17,2,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
29,hl3mnu6bnzbj63buem.ru,18,1717,11,3,15,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,13
30,mqeamufmv6kx5mmy2o.biz,18,1809,13,4,14,4,0,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,13
31,fmcarhy4ikz8bsr8ey.cn,18,1793,11,3,15,4,0,0,0.0,0.16666666666666666,1,0,1,3,1,1.0,13
32,au664be6c3pmnw86yn.ru,18,1568,10,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
33,udyapicl5124hybmbt.com,18,1709,7,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,13
34,7v87vbicxq2qdpqv31.com,18,1643,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
35,fpz1x2g16qu5qzpmyj.cn,18,1727,13,1,17,2,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
36,2cf5t6pm27rdacrwxb.cn,18,1661,11,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
37,q4inyxm4nwuvah65v6.net,18,1726,12,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
38,rx5jusoyibwchs52f3.com,18,1753,12,3,15,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
39,btncomh55rzqrqimuh.biz,18,1864,8,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
40,zk2bjr3ni7r2e1fsg3.biz,18,1603,15,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,2,1,1.0,13
41,ajxmsuy2ojl4nux15s.net,18,1776,12,4,14,4,0,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,13
42,uismouzwy62c8vbsjf.com,18,1834,11,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
43,behb2v1r1ridu6etya.com,18,1706,12,5,13,5,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
44,frikhmiodsf5tlrani.cn,18,1877,8,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,4,1,1.0,13
45,jj3i7wtqav5f5aiqzi.com,18,1736,13,5,13,4,0,0,0.0,0.2777777777777778,1,0,0,2,1,1.0,13
46,1k72p413a2e1z5atd5.net,18,1363,14,3,15,3,0,0,0.0,0.16666666666666666,2,0,0,3,1,1.0,13
47,n3ilc8sxdklklpbxjf.cn,18,1832,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
48,r5sjxbc6hda1tr2tvf.biz,18,1725,13,1,17,1,0,0,0.0,0.05555555555555555,1,0,0,2,1,1.0,13
49,clrfmrkadx13ivgyd6.ru,18,1771,10,2,16,3,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
50,wimid2yngsn4it7xms.com,18,1819,10,3,15,4,0,0,0.0,0.16666666666666666,1,0,0,3,1,1.0,13
