,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,vhklwvvon1.com,10,1062,5,1,9,1,0,0,0.0,0.1,0,0,0,3,1,1.0,14
1,bevgfijycd.net,10,1053,4,2,8,3,0,0,0.0,0.2,0,0,0,3,2,1.0,14
2,5g1xxzjvohrb5.com,13,1271,10,1,12,1,0,0,0.0,0.07692307692307693,0,0,0,2,1,1.0,14
3,xg5mmhrtbog5b.net,13,1291,7,1,12,1,0,0,0.0,0.07692307692307693,0,0,0,3,1,1.0,14
4,s2i9eecchnsvh.com,13,1278,8,3,10,2,0,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,14
5,ka9rik1aqu5li.net,13,1229,7,5,8,5,0,0,0.0,0.38461538461538464,0,0,0,3,1,1.0,14
6,5hx2xw4yb52kr.com,13,1161,9,0,13,1,0,0,0.0,0.0,0,0,0,2,1,1.0,14
7,uvwpywhvji3.net,11,1190,7,2,9,3,0,0,0.0,0.18181818181818182,0,0,0,2,1,1.0,14
8,xoz5iw3o1dx.com,11,1061,8,3,8,3,0,0,0.0,0.2727272727272727,0,0,0,2,1,1.0,14
9,qkmvyydhmqmyck.net,14,1551,8,0,14,2,0,0,0.0,0.0,0,0,0,2,1,1.0,14
10,d9wsj3fgllpv.com,12,1199,8,0,12,0,0,0,0.0,0.0,0,0,0,2,1,1.0,14
11,w55dnycdrwrssa.net,14,1429,8,1,13,2,0,0,0.0,0.07142857142857142,1,0,0,3,1,1.0,14
12,utn3e2v3vu4vi4.com,14,1276,11,4,10,4,0,0,0.0,0.2857142857142857,0,0,0,2,1,1.0,14
13,iu39qyr2439cnl.net,14,1205,7,2,12,2,0,0,0.0,0.14285714285714285,0,0,0,4,1,1.0,14
14,um2kzlsroq59hm.com,14,1389,8,2,12,2,0,0,0.0,0.14285714285714285,0,0,0,2,1,1.0,14
15,k9bjcsjnd2tyxqd.net,15,1518,10,0,15,1,0,0,0.0,0.0,0,0,0,2,1,1.0,14
16,ujcaxgtzlo54mbg.com,15,1514,8,3,12,3,0,0,0.0,0.2,0,0,0,2,1,1.0,14
17,v4ggyn3n4rjttqm.net,15,1494,10,0,15,1,0,0,0.0,0.0,0,0,0,2,1,1.0,14
