,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,kimberleemalandra.net,17,1776,5,7,10,6,0,0,0.0,0.4117647058823529,1,1,0,5,2,1.0,15
1,catherinaboniface.net,17,1766,2,8,9,7,0,0,0.0,0.47058823529411764,0,0,0,9,8,1.0,15
2,catherineboniface.net,17,1770,2,8,9,7,0,0,0.0,0.47058823529411764,0,0,0,9,8,1.0,15
3,catherinakimberly.net,17,1806,2,6,11,7,0,0,0.0,0.35294117647058826,0,0,0,9,8,1.0,15
4,catherinekimberly.net,17,1810,2,6,11,7,0,0,0.0,0.35294117647058826,0,0,0,9,8,1.0,15
5,catherinasharleen.net,17,1793,4,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,9,1,1.0,15
6,catherinesharleen.net,17,1797,4,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,9,1,1.0,15
7,catherinamalandra.net,17,1775,3,7,10,7,0,0,0.0,0.4117647058823529,0,0,0,9,4,1.0,15
8,catherinemalandra.net,17,1779,3,7,10,7,0,0,0.0,0.4117647058823529,0,0,0,9,4,1.0,15
9,antonetteboniface.net,17,1801,4,8,9,7,0,0,0.0,0.47058823529411764,1,1,0,8,2,1.0,15
10,madeleineboniface.net,17,1755,2,9,8,7,0,0,0.0,0.5294117647058824,0,0,0,9,8,1.0,15
11,antonettekimberly.net,17,1841,4,6,11,7,0,0,0.0,0.35294117647058826,1,1,0,8,2,1.0,15
12,madeleinekimberly.net,17,1795,2,7,10,7,0,0,0.0,0.4117647058823529,0,0,0,9,8,1.0,15
13,antonettesharleen.net,17,1828,6,7,10,6,0,0,0.0,0.4117647058823529,1,1,0,4,1,1.0,15
14,madeleinesharleen.net,17,1782,4,8,9,6,0,0,0.0,0.47058823529411764,0,0,0,9,1,1.0,15
15,antonettemalandra.net,17,1810,5,7,10,7,0,0,0.0,0.4117647058823529,1,1,0,4,2,1.0,15
16,madeleinemalandra.net,17,1764,3,8,9,7,0,0,0.0,0.47058823529411764,0,0,0,9,4,1.0,15
17,charlotteboniface.net,17,1789,2,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,9,8,1.0,15
18,stephanieboniface.net,17,1784,2,8,9,6,0,0,0.0,0.47058823529411764,0,0,0,9,8,1.0,15
19,charlottekimberly.net,17,1829,2,5,12,6,0,0,0.0,0.29411764705882354,0,0,0,9,8,1.0,15
20,stephaniekimberly.net,17,1824,2,6,11,6,0,0,0.0,0.35294117647058826,0,0,0,9,8,1.0,15
21,charlottesharleen.net,17,1816,4,6,11,5,0,0,0.0,0.35294117647058826,0,0,0,9,1,1.0,15
22,stephaniesharleen.net,17,1811,4,7,10,5,0,0,0.0,0.4117647058823529,0,0,0,9,1,1.0,15
23,charlottemalandra.net,17,1798,3,6,11,6,0,0,0.0,0.35294117647058826,0,0,0,9,4,1.0,15
24,stephaniemalandra.net,17,1793,3,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,9,4,1.0,15
25,kimberlynboniface.net,17,1796,3,6,11,6,0,0,0.0,0.35294117647058826,0,0,0,8,1,1.0,15
26,glanvilleboniface.net,17,1781,4,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,8,2,1.0,15
27,kimberlynkimberly.net,17,1836,3,4,13,6,0,0,0.0,0.23529411764705882,0,0,0,8,1,1.0,15
28,glanvillekimberly.net,17,1821,4,5,12,6,0,0,0.0,0.29411764705882354,0,0,0,8,2,1.0,15
29,kimberlynsharleen.net,17,1823,5,5,12,5,0,0,0.0,0.29411764705882354,0,0,0,8,1,1.0,15
30,glanvillesharleen.net,17,1808,6,6,11,5,0,0,0.0,0.35294117647058826,0,0,0,5,1,1.0,15
31,kimberlynmalandra.net,17,1805,4,5,12,6,0,0,0.0,0.29411764705882354,0,0,0,8,1,1.0,15
32,glanvillemalandra.net,17,1790,5,6,11,6,0,0,0.0,0.35294117647058826,0,0,0,5,2,1.0,15
33,jessamineboniface.net,17,1782,2,8,9,7,0,0,0.0,0.47058823529411764,0,0,0,9,8,1.0,15
34,genevieveboniface.net,17,1781,2,9,8,7,0,0,0.0,0.5294117647058824,0,0,0,9,8,1.0,15
35,jessaminekimberly.net,17,1822,2,6,11,7,0,0,0.0,0.35294117647058826,0,0,0,9,8,1.0,15
36,genevievekimberly.net,17,1821,2,7,10,7,0,0,0.0,0.4117647058823529,0,0,0,9,8,1.0,15
37,jessaminesharleen.net,17,1809,4,7,10,6,0,0,0.0,0.4117647058823529,0,0,0,10,1,1.0,15
38,genevievesharleen.net,17,1808,4,8,9,6,0,0,0.0,0.47058823529411764,0,0,0,9,1,1.0,15
39,jessaminemalandra.net,17,1791,3,7,10,7,0,0,0.0,0.4117647058823529,0,0,0,9,4,1.0,15
