,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
0,nvfowikhevmy.net,12,1325,7,3,9,4,0,0,0.0,0.25,0,0,0,2,1,1.0,16
1,nvfowikhevmy.in,12,1325,7,3,9,4,0,0,0.0,0.25,0,0,0,2,1,1.0,16
2,nvfowikhevmy.ru,12,1325,7,3,9,4,0,0,0.0,0.25,0,0,0,2,1,1.0,16
3,sjhuqlwrqhqx.com,12,1346,5,1,11,1,0,0,0.0,0.08333333333333333,0,0,0,3,2,1.0,16
4,sjhuqlwrqhqx.net,12,1346,5,1,11,1,0,0,0.0,0.08333333333333333,0,0,0,3,2,1.0,16
5,sjhuqlwrqhqx.in,12,1346,5,1,11,1,0,0,0.0,0.08333333333333333,0,0,0,3,2,1.0,16
6,sjhuqlwrqhqx.ru,12,1346,5,1,11,1,0,0,0.0,0.08333333333333333,0,0,0,3,2,1.0,16
7,pxqgonyogeee.com,12,1307,5,5,7,3,0,0,0.0,0.4166666666666667,0,0,0,3,2,1.0,16
8,pxqgonyogeee.net,12,1307,5,5,7,3,0,0,0.0,0.4166666666666667,0,0,0,3,2,1.0,16
9,pxqgonyogeee.in,12,1307,5,5,7,3,0,0,0.0,0.4166666666666667,0,0,0,3,2,1.0,16
10,pxqgonyogeee.ru,12,1307,5,5,7,3,0,0,0.0,0.4166666666666667,0,0,0,3,2,1.0,16
11,oykjietwrmlw.com,12,1336,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
12,oykjietwrmlw.net,12,1336,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
13,oykjietwrmlw.in,12,1336,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
14,oykjietwrmlw.ru,12,1336,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
15,oqckhpiyqqll.com,12,1314,7,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
16,oqckhpiyqqll.net,12,1314,7,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
17,oqckhpiyqqll.in,12,1314,7,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
18,oqckhpiyqqll.ru,12,1314,7,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
19,oqxvkgnpxhyi.com,12,1344,8,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
20,oqxvkgnpxhyi.net,12,1344,8,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
21,oqxvkgnpxhyi.in,12,1344,8,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
22,oqxvkgnpxhyi.ru,12,1344,8,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,16
23,ogwcjypfehdw.com,12,1297,5,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,3,2,1.0,16
24,ogwcjypfehdw.net,12,1297,5,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,3,2,1.0,16
25,ogwcjypfehdw.in,12,1297,5,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,3,2,1.0,16
26,ogwcjypfehdw.ru,12,1297,5,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,3,2,1.0,16
27,pneidxmfmcpe.com,12,1280,5,3,9,1,0,0,0.0,0.25,0,0,0,3,2,1.0,16
28,pneidxmfmcpe.net,12,1280,5,3,9,1,0,0,0.0,0.25,0,0,0,3,2,1.0,16
29,pneidxmfmcpe.in,12,1280,5,3,9,1,0,0,0.0,0.25,0,0,0,3,2,1.0,16
30,pneidxmfmcpe.ru,12,1280,5,3,9,1,0,0,0.0,0.25,0,0,0,3,2,1.0,16
31,uuuutebcdtgh.com,12,1305,6,5,7,2,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
32,uuuutebcdtgh.net,12,1305,6,5,7,2,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
33,uuuutebcdtgh.in,12,1305,6,5,7,2,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
34,uuuutebcdtgh.ru,12,1305,6,5,7,2,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
35,hpyjdllclmjw.com,12,1300,6,0,12,1,0,0,0.0,0.0,0,0,0,3,1,1.0,16
36,hpyjdllclmjw.net,12,1300,6,0,12,1,0,0,0.0,0.0,0,0,0,3,1,1.0,16
37,hpyjdllclmjw.in,12,1300,6,0,12,1,0,0,0.0,0.0,0,0,0,3,1,1.0,16
38,hpyjdllclmjw.ru,12,1300,6,0,12,1,0,0,0.0,0.0,0,0,0,3,1,1.0,16
39,oqgoossekhir.com,12,1310,6,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
40,oqgoossekhir.net,12,1310,6,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
41,oqgoossekhir.in,12,1310,6,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
42,oqgoossekhir.ru,12,1310,6,5,7,4,0,0,0.0,0.4166666666666667,0,0,0,3,1,1.0,16
43,ovbcdqqmbhoo.com,12,1285,5,3,9,2,0,0,0.0,0.25,0,0,0,3,2,1.0,16
44,ovbcdqqmbhoo.net,12,1285,5,3,9,2,0,0,0.0,0.25,0,0,0,3,2,1.0,16
45,ovbcdqqmbhoo.in,12,1285,5,3,9,2,0,0,0.0,0.25,0,0,0,3,2,1.0,16
46,ovbcdqqmbhoo.ru,12,1285,5,3,9,2,0,0,0.0,0.25,0,0,0,3,2,1.0,16
47,tuumuorqgvwg.com,12,1357,7,4,8,2,0,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,16
48,tuumuorqgvwg.net,12,1357,7,4,8,2,0,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,16
49,tuumuorqgvwg.in,12,1357,7,4,8,2,0,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,16
50,tuumuorqgvwg.ru,12,1357,7,4,8,2,0,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,16
51,imqlxttnymmy.com,12,1357,7,1,11,3,0,0,0.0,0.08333333333333333,0,0,0,2,1,1.0,16
52,imqlxttnymmy.net,12,1357,7,1,11,3,0,0,0.0,0.08333333333333333,0,0,0,2,1,1.0,16
53,imqlxttnymmy.in,12,1357,7,1,11,3,0,0,0.0,0.08333333333333333,0,0,0,2,1,1.0,16
54,imqlxttnymmy.ru,12,1357,7,1,11,3,0,0,0.0,0.08333333333333333,0,0,0,2,1,1.0,16
55,lpppwvulmrop.com,12,1352,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
56,lpppwvulmrop.net,12,1352,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
57,lpppwvulmrop.in,12,1352,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
58,lpppwvulmrop.ru,12,1352,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
59,ttwefowwdyyy.com,12,1366,6,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,2,2,1.0,16
60,ttwefowwdyyy.net,12,1366,6,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,2,2,1.0,16
61,ttwefowwdyyy.in,12,1366,6,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,2,2,1.0,16
62,ttwefowwdyyy.ru,12,1366,6,2,10,3,0,0,0.0,0.16666666666666666,0,0,0,2,2,1.0,16
63,hqogjiujstsf.com,12,1313,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
64,hqogjiujstsf.net,12,1313,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
65,hqogjiujstsf.in,12,1313,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
66,hqogjiujstsf.ru,12,1313,6,3,9,2,0,0,0.0,0.25,0,0,0,3,1,1.0,16
67,yyqyhyviycru.com,12,1375,7,2,10,5,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
68,yyqyhyviycru.net,12,1375,7,2,10,5,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
69,yyqyhyviycru.in,12,1375,7,2,10,5,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
70,yyqyhyviycru.ru,12,1375,7,2,10,5,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
71,ooltunrmtrmy.com,12,1356,5,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
72,ooltunrmtrmy.net,12,1356,5,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
73,ooltunrmtrmy.in,12,1356,5,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
74,ooltunrmtrmy.ru,12,1356,5,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
75,ulpuqvvvyxyy.com,12,1404,7,2,10,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
76,ulpuqvvvyxyy.net,12,1404,7,2,10,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
77,ulpuqvvvyxyy.in,12,1404,7,2,10,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
78,ulpuqvvvyxyy.ru,12,1404,7,2,10,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
79,ocggbyonqtun.com,12,1312,6,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
80,ocggbyonqtun.net,12,1312,6,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
81,ocggbyonqtun.in,12,1312,6,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
82,ocggbyonqtun.ru,12,1312,6,3,9,3,0,0,0.0,0.25,0,0,0,3,1,1.0,16
83,dlohcvfyiqjx.com,12,1307,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
84,dlohcvfyiqjx.net,12,1307,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
85,dlohcvfyiqjx.in,12,1307,6,2,10,2,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,16
