Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
19,2002,4,7,12,6,0,0.0,0.3684210526315789,0,0,0,8,1,1.0,4,14
12,1273,4,4,8,4,0,0.0,0.3333333333333333,0,0,0,5,2,1.0,2,0
9,961,2,5,4,3,0,0.0,0.5555555555555556,0,0,0,6,3,1.0,2,0
26,2315,17,1,25,2,0,0.0,0.038461538461538464,0,0,0,3,1,1.0,4,3
16,1712,7,4,12,5,0,0.0,0.25,0,0,0,4,1,1.0,4,1
7,751,2,2,5,2,0,0.0,0.2857142857142857,0,0,0,4,3,1.0,1,0
4,441,1,1,3,1,0,0.0,0.25,0,0,0,4,4,1.0,1,0
7,780,3,2,5,3,0,0.0,0.2857142857142857,0,0,0,3,2,1.0,1,0
3,309,2,1,2,1,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,1,0
5,529,2,3,2,2,0,0.0,0.6,0,0,0,3,2,1.0,1,0
8,863,3,2,6,2,0,0.0,0.25,1,1,0,5,1,1.0,1,0
13,1291,9,4,9,3,0,0.0,0.3076923076923077,0,0,0,3,1,1.0,3,13
19,2029,5,7,12,7,0,0.0,0.3684210526315789,1,0,0,10,1,1.0,4,14
9,974,2,2,7,2,0,0.0,0.2222222222222222,1,1,0,5,4,1.0,2,0
9,987,2,3,6,3,0,0.0,0.3333333333333333,0,0,0,5,4,1.0,2,0
17,1851,8,3,14,3,0,0.0,0.17647058823529413,0,0,0,3,1,1.0,4,11
5,549,2,2,3,1,0,0.0,0.4,0,0,0,4,1,1.0,1,0
5,561,2,1,4,1,0,0.0,0.2,1,0,0,4,1,1.0,1,0
14,1488,7,3,11,3,0,0.0,0.21428571428571427,0,0,0,3,1,1.0,3,7
12,1339,7,2,10,2,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,2,15
17,1878,9,2,15,3,0,0.0,0.11764705882352941,1,0,0,3,1,1.0,4,10
8,853,3,3,5,3,0,0.0,0.375,1,0,0,3,2,1.0,1,0
6,596,3,3,3,3,0,0.0,0.5,0,0,0,4,1,1.0,1,0
15,1593,7,5,10,4,0,0.0,0.3333333333333333,0,0,0,4,1,1.0,4,2
5,580,3,0,5,2,0,0.0,0.0,0,0,0,2,1,1.0,1,0
17,1808,6,6,11,5,0,0.0,0.35294117647058826,0,0,0,5,1,1.0,4,14
12,1268,2,5,7,5,0,0.0,0.4166666666666667,0,0,0,7,5,1.0,2,8
10,1053,3,5,5,4,0,0.0,0.5,2,0,0,6,1,1.0,2,0
9,963,2,3,6,3,0,0.0,0.3333333333333333,0,0,0,6,3,1.0,2,0
13,1317,2,5,8,3,1,0.07692307692307693,0.38461538461538464,0,0,0,6,6,0.9230769230769231,3,8
27,2166,18,2,25,2,0,0.0,0.07407407407407407,0,0,0,5,1,1.0,4,3
20,2119,5,8,12,7,0,0.0,0.4,0,0,0,7,2,1.0,4,14
8,824,3,3,5,3,0,0.0,0.375,0,0,0,5,1,1.0,1,0
12,1319,6,4,8,4,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,2,15
