Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,countdi,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,word_dga,ratio_dga,label,type
26,2821,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2820,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2829,7,9,17,9,0,0,0.0,0.34615384615384615,2,1,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2816,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2833,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2831,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2820,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1953,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2816,8,10,16,9,0,0,0.0,0.38461538461538464,2,0,2,8,1,0.0,4,2,0.25,1,banjori
26,2834,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2798,7,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
18,1965,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2819,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2806,7,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2814,8,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2806,7,10,16,9,0,0,0.0,0.38461538461538464,2,1,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
18,1971,5,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.2,1,banjori
26,2836,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
